send_time,question,image_url,reply,token_count,token_sum,reply time
2024-10-29 18:39:04,"[{'type': 'text', 'text': 'Is there an intersection in front of the robot?Yes or No'}, {'type': 'text', 'text': 'Is there a door in front of the robot?Yes or No'}, {'type': 'text', 'text': 'Is the door in front of the robot open?Yes or No'}, {'type': 'text', 'text': 'Is there an AR code in front of the robot?Yes or No'}, {'type': 'text', 'text': 'Are there multiple AR codes in front of the robot?Yes or No'}, {'type': 'text', 'text': 'In which direction is the AR code in front of the robot?No or left or center or right'}, {'type': 'text', 'text': 'Is there an obstacle in front of the robot?Yes or No'}, {'type': 'text', 'text': 'What is the obstacle in front of the robot?No or the name of the obstacle'}, {'type': 'text', 'text': 'In which direction is the obstacle in front of the robot?No or left or center or right'}]",images/005.jpg,No | No | No | No | No | No | Yes | Backpack | Center,37042,37042,2024-10-29 18:39:07
2024-10-29 18:41:34,"[{'type': 'text', 'text': 'Is there an intersection in front of the robot?Yes or No'}, {'type': 'text', 'text': 'Is there a door in front of the robot?Yes or No'}, {'type': 'text', 'text': 'Is the door in front of the robot open?Yes or No'}, {'type': 'text', 'text': 'Is there an AR code in front of the robot?Yes or No'}, {'type': 'text', 'text': 'Are there multiple AR codes in front of the robot?Yes or No'}, {'type': 'text', 'text': 'In which direction is the AR code in front of the robot?No or left or center or right'}, {'type': 'text', 'text': 'Is there an obstacle in front of the robot?Yes or No'}, {'type': 'text', 'text': 'What is the obstacle in front of the robot?No or the name of the obstacle'}, {'type': 'text', 'text': 'In which direction is the obstacle in front of the robot?No or left or center or right'}]",images/001.jpg,"- Is there an intersection in front of the robot? **No**
- Is there a door in front of the robot? **No**
- Is the door in front of the robot open? **No**
- Is there an AR code in front of the robot? **Yes**
- Are there multiple AR codes in front of the robot? **No**
- In which direction is the AR code in front of the robot? **Center**
- Is there an obstacle in front of the robot? **No**
- What is the obstacle in front of the robot? **No**
- In which direction is the obstacle in front of the robot? **No**",37158,74200,2024-10-29 18:41:39
2024-10-29 18:42:58,"[{'type': 'text', 'text': 'Is there an intersection in front of the robot?Yes or No'}, {'type': 'text', 'text': 'Is there a door in front of the robot?Yes or No'}, {'type': 'text', 'text': 'Is the door in front of the robot open?Yes or No'}, {'type': 'text', 'text': 'Is there an AR code in front of the robot?Yes or No'}, {'type': 'text', 'text': 'Are there multiple AR codes in front of the robot?Yes or No'}, {'type': 'text', 'text': 'In which direction is the AR code in front of the robot?No or left or center or right'}, {'type': 'text', 'text': 'Is there an obstacle in front of the robot?Yes or No'}, {'type': 'text', 'text': 'What is the obstacle in front of the robot?No or the name of the obstacle'}, {'type': 'text', 'text': 'In which direction is the obstacle in front of the robot?No or left or center or right'}]",images/001.jpg,No | No | No | Yes | No | Center | No | No | No,1312,38470,2024-10-29 18:43:03
2024-10-29 18:48:48,"[{'type': 'text', 'text': 'Is there an intersection in front of the robot?Yes or No'}, {'type': 'text', 'text': 'Is there a door in front of the robot?Yes or No'}, {'type': 'text', 'text': 'Is the door in front of the robot open?Yes or No'}, {'type': 'text', 'text': 'Is there an AR code in front of the robot?Yes or No'}, {'type': 'text', 'text': 'Are there multiple AR codes in front of the robot?Yes or No'}, {'type': 'text', 'text': 'In which direction is the AR code in front of the robot?No or left or center or right'}, {'type': 'text', 'text': 'Is there an obstacle in front of the robot?Yes or No'}, {'type': 'text', 'text': 'What is the obstacle in front of the robot?No or the name of the obstacle'}, {'type': 'text', 'text': 'In which direction is the obstacle in front of the robot?No or left or center or right'}]",images/001.jpg,No | No | No | Yes | No | Center | No | No | No,1322,2634,2024-10-29 18:48:51
2024-10-29 18:49:09,"[{'type': 'text', 'text': 'Is there an intersection in front of the robot?Yes or No'}, {'type': 'text', 'text': 'Is there a door in front of the robot?Yes or No'}, {'type': 'text', 'text': 'Is the door in front of the robot open?Yes or No'}, {'type': 'text', 'text': 'Is there an AR code in front of the robot?Yes or No'}, {'type': 'text', 'text': 'Are there multiple AR codes in front of the robot?Yes or No'}, {'type': 'text', 'text': 'In which direction is the AR code in front of the robot?No or left or center or right'}, {'type': 'text', 'text': 'Is there an obstacle in front of the robot?Yes or No'}, {'type': 'text', 'text': 'What is the obstacle in front of the robot?No or the name of the obstacle'}, {'type': 'text', 'text': 'In which direction is the obstacle in front of the robot?No or left or center or right'}]",images/002.jpg,No | Yes | No | Yes | No | Left | Yes | Barrier | Center,1322,2644,2024-10-29 18:49:12
2024-10-29 18:55:32,"[{'type': 'text', 'text': 'Is there an intersection in front of the robot?Yes or No'}, {'type': 'text', 'text': 'Is there a door in front of the robot?Yes or No'}, {'type': 'text', 'text': 'If there is a door where is it?No or left or center or right'}, {'type': 'text', 'text': 'If there is a door how far is it?No or a number unit is cm'}, {'type': 'text', 'text': 'Is the door in front of the robot open?Yes or No'}, {'type': 'text', 'text': 'Is there an AR code in front of the robot?Yes or No'}, {'type': 'text', 'text': 'Are there multiple AR codes in front of the robot?Yes or No'}, {'type': 'text', 'text': 'In which direction is the AR code in front of the robot?No or left or center or right'}, {'type': 'text', 'text': 'Is there an obstacle in front of the robot?Yes or No'}, {'type': 'text', 'text': 'What is the obstacle in front of the robot?No or the name of the obstacle'}, {'type': 'text', 'text': 'In which direction is the obstacle in front of the robot?No or left or center or right'}, {'type': 'text', 'text': 'If there is a obstacle how far is it?No No or a number unit is cm'}]",images/002.jpg,No | Yes | Center | Approximately 500 cm | No | Yes | No | Left | Yes | Barrier | Center | Approximately 500 cm,1385,2707,2024-10-29 18:55:36
2024-10-29 18:58:05,"[{'type': 'text', 'text': 'Is there an intersection in front of the robot?Yes or No'}, {'type': 'text', 'text': 'Is there a door in front of the robot?Yes or No'}, {'type': 'text', 'text': 'If there is a door where is it?No or left or center or right'}, {'type': 'text', 'text': 'If there is a door how far is it?No or only reply a number unit is cm'}, {'type': 'text', 'text': 'Is the door in front of the robot open?Yes or No'}, {'type': 'text', 'text': 'Is there an AR code in front of the robot?Yes or No'}, {'type': 'text', 'text': 'Are there multiple AR codes in front of the robot?Yes or No'}, {'type': 'text', 'text': 'In which direction is the AR code in front of the robot?No or left or center or right'}, {'type': 'text', 'text': 'Is there an obstacle in front of the robot?Yes or No'}, {'type': 'text', 'text': 'What is the obstacle in front of the robot?No or the name of the obstacle'}, {'type': 'text', 'text': 'In which direction is the obstacle in front of the robot?No or left or center or right'}, {'type': 'text', 'text': 'If there is a obstacle how far is it?No or only reply a number unit is cm'}]",images/002.jpg,No | Yes | Center | 500 | No | Yes | No | Left | Yes | Barrier | Center | 500,1384,2769,2024-10-29 18:58:09
2024-10-29 18:59:36,"[{'type': 'text', 'text': 'Is there an intersection in front of the robot?Yes or No'}, {'type': 'text', 'text': 'Is there a door in front of the robot?Yes or No'}, {'type': 'text', 'text': 'If there is a door where is it?No or left or center or right'}, {'type': 'text', 'text': 'If there is a door how far is it?No or only reply a number unit is cm'}, {'type': 'text', 'text': 'Is the door in front of the robot open?Yes or No'}, {'type': 'text', 'text': 'Is there an AR code in front of the robot?Yes or No'}, {'type': 'text', 'text': 'Are there multiple AR codes in front of the robot?Yes or No'}, {'type': 'text', 'text': 'In which direction is the AR code in front of the robot?No or left or center or right'}, {'type': 'text', 'text': 'Is there an obstacle in front of the robot?Yes or No'}, {'type': 'text', 'text': 'What is the obstacle in front of the robot?No or the name of the obstacle'}, {'type': 'text', 'text': 'In which direction is the obstacle in front of the robot?No or left or center or right'}, {'type': 'text', 'text': 'If there is a obstacle how far is it?No or only reply a number unit is cm'}]",images/001.jpg,No | No | No | No | No | Yes | No | Center | No | No | No | No,1382,2766,2024-10-29 18:59:39
2024-10-29 18:59:44,"[{'type': 'text', 'text': 'Is there an intersection in front of the robot?Yes or No'}, {'type': 'text', 'text': 'Is there a door in front of the robot?Yes or No'}, {'type': 'text', 'text': 'If there is a door where is it?No or left or center or right'}, {'type': 'text', 'text': 'If there is a door how far is it?No or only reply a number unit is cm'}, {'type': 'text', 'text': 'Is the door in front of the robot open?Yes or No'}, {'type': 'text', 'text': 'Is there an AR code in front of the robot?Yes or No'}, {'type': 'text', 'text': 'Are there multiple AR codes in front of the robot?Yes or No'}, {'type': 'text', 'text': 'In which direction is the AR code in front of the robot?No or left or center or right'}, {'type': 'text', 'text': 'Is there an obstacle in front of the robot?Yes or No'}, {'type': 'text', 'text': 'What is the obstacle in front of the robot?No or the name of the obstacle'}, {'type': 'text', 'text': 'In which direction is the obstacle in front of the robot?No or left or center or right'}, {'type': 'text', 'text': 'If there is a obstacle how far is it?No or only reply a number unit is cm'}]",images/002.jpg,No | Yes | Center | 500 | No | Yes | No | Left | Yes | Barrier | Center | 500,1384,2766,2024-10-29 18:59:48
2024-10-29 18:59:53,"[{'type': 'text', 'text': 'Is there an intersection in front of the robot?Yes or No'}, {'type': 'text', 'text': 'Is there a door in front of the robot?Yes or No'}, {'type': 'text', 'text': 'If there is a door where is it?No or left or center or right'}, {'type': 'text', 'text': 'If there is a door how far is it?No or only reply a number unit is cm'}, {'type': 'text', 'text': 'Is the door in front of the robot open?Yes or No'}, {'type': 'text', 'text': 'Is there an AR code in front of the robot?Yes or No'}, {'type': 'text', 'text': 'Are there multiple AR codes in front of the robot?Yes or No'}, {'type': 'text', 'text': 'In which direction is the AR code in front of the robot?No or left or center or right'}, {'type': 'text', 'text': 'Is there an obstacle in front of the robot?Yes or No'}, {'type': 'text', 'text': 'What is the obstacle in front of the robot?No or the name of the obstacle'}, {'type': 'text', 'text': 'In which direction is the obstacle in front of the robot?No or left or center or right'}, {'type': 'text', 'text': 'If there is a obstacle how far is it?No or only reply a number unit is cm'}]",images/003.jpg,No | No | No | No | No | Yes | No | Center | Yes | Wall | Center | 100,1383,2767,2024-10-29 18:59:57
